Date,Time,Site,Tracker_ID,ID,Band,Colour_L,Colour_R,Sex,GPS_ID,Lat,Lon,Signal,Gain,Angle,Direction,Receiver,Temperature,Wind,Cloud,Precipitations,Snow_depth,Snow_hardness,Snow_water,Comments
14/04/2024,11:08,1,LD,104,2991-40554,Yellow/Black,Metal/Blue,Male,04-14-2024 NOCA 104,45.42926,-73.94034,NA,NA,NA,NA,NA,10,13,20,0,0,0,0,"Made visual contact with the bird at the exact location, between the pond and the Arbo."
23/04/2024,13:53,1,AMC,120b,2991-04521,Blue/White,Metal/Red,Female,04-23-2024 NOCA 120,45.43424,-73.9224,NA,NA,NA,NA,OLD,12,15,0,0,0,0,0,"Made visual contact with the bird, the point was taken at the exact location."
23/04/2024,10:22,1,AMC,104,2991-40554,Yellow/Black,Metal/Blue,Male,04-23-2024 NOCA 104,45.42995,-73.93901,151,30,5,UP,OLD,13,NA,10,0,0,0,0,Saw the bird in bushes near the A nets. Forgot to note the wind speeds.
03/05/2024,9:39,1,AMC,104,2991-40554,Yellow/Black,Metal/Blue,Male,05-03-2024 NOCA 104,45.42987,-73.93817,147,40,167,UP,OLD,11,11,100,0,0,0,0,Close-ish to the feeders.
07/05/2024,11:27,1,AMC,120b,2991-04521,Blue/White,Metal/Red,Female,05-07-2024 NOCA 120,45.43438,-73.9227,155,30,82,STRAIGHT,OLD,18,10,5,0,0,0,0,In same woody patch as previous points.
19/10/2023,10:17,2,AMC,124,2991-40508,Blue/Green,Metal/Red,Female,10-19-2023 NOCA 124 RELEASE,45.42929,-73.93913,NA,NA,NA,NA,NA,13,7,30,0,0,0,0,RELEASE DAY
20/10/2023,9:29,2,MJL,124,2991-40508,Blue/Green,Metal/Red,Female,10-20-23 NOCA 124,45.4292,-73.93842,221,29,208,NA,NEW,13,3,80,0,0,0,0,"Located in the pines near the ""E"" nets."
20/10/2023,11:16,2,AMC,127,2991-40511,Blue/Black,Metal/Blue,Male,10-20-2023 NOCA 127 RELEASE,45.42928,-73.93913,NA,NA,NA,NA,NA,16,6,40,0,0,0,0,Flew towards the open area.
23/10/2023,11:03,2,NG,124,2991-40508,Blue/Green,Metal/Red,Female,10-23-23 NOCA 124,45.42958,-73.93848,203,40,94,NA,NEW,9,9,100,0,0,0,0,"Located close to the ""E2"" nets."
25/10/2023,11:27,2,AMC,127,2991-40511,Blue/Black,Metal/Blue,Male,10-25-2023 NOCA 127,45.42989,-73.9374,160,20,212,STRAIGHT,OLD,16,11,90,0,0,0,0,Located in the vegetation row between the drive way and the fields.
