bird.num,motusTagID,dos,tspre,tspost,tsmax.dt,meanpre,meanpost,varpre,varpost,cpt,batch,postfilter,time,Dates,sunrise.UTC,cpt.sr,postfiltercol,postfilterlntyp
2,68917,174,0,7.3,06:39.5,0.620572756,1.30051614,0.11877168,0.869698813,42:31.6,3,good,9.7,2023-04-18,2023-04-18 10:06,-24.240325,black,1
4,68919,14,7.3,0,16:24.8,0.384528852,0.764199662,0.070381173,0.257467298,42:13.0,3,good,9.7,2022-11-13,2022-11-13 11:53,-130.89974,black,1
2,90345,154,0,9.7,29:11.7,0.6244971,1.115059382,0.110170412,0.684841471,42:33.9,11,good,9.7,2025-04-05,2025-04-05 10:29,-46.81898834,black,1
2,90345,159,9.7,9.7,20:07.2,0.629467307,1.297155832,0.081906164,0.839270232,42:03.4,11,good,9.7,2025-04-10,2025-04-10 10:20,-38.09384333,black,1
1,68906,181,153.28,7.3,21:02.0,0.660083657,1.214080699,0.083068137,0.678790606,43:09.2,1,good,9.716666667,2023-04-10,2023-04-10 10:21,-37.879515,black,1
3,68913,111,0,7.3,06:37.0,0.51391116,0.829278819,0.073098097,0.251609018,43:23.2,2,good,9.716666667,2023-02-10,2023-02-10 12:06,-143.34608,black,1
2,68917,65,0,0,38:25.5,0.616997854,0.379884855,0.173035614,0.085525596,43:40.9,3,bad,9.716666667,2022-12-30,2022-12-30 12:36,-173.0022467,red,2
5,68925,153,0,0,20:58.0,0.555682547,1.329674643,0.103894695,0.725107693,43:12.0,4,good,9.716666667,2023-04-10,2023-04-10 10:21,-37.83338333,black,1
1,68906,167,7.3,1547.37,44:49.9,0.796801782,1.260550332,0.112922261,0.660165701,44:41.8,1,good,9.733333333,2023-03-27,2023-03-27 10:47,-62.65321167,black,1
1,68906,179,0,7.3,22:04.9,0.452968528,1.44872471,0.065816344,0.823819874,44:19.7,1,good,9.733333333,2023-04-08,2023-04-08 10:24,-40.37110167,black,1
2,68912,167,7.3,7.3,24:39.3,0.725386068,1.51259909,0.119167617,0.730074189,46:08.2,2,good,9.766666667,2023-04-08,2023-04-08 10:24,-38.56256333,black,1
2,68917,42,0,0,28:33.9,0.532586243,0.590782941,0.102100416,0.162151382,46:21.1,3,good,9.766666667,2022-12-07,2022-12-07 12:23,-156.747695,black,1
2,68917,168,0,58.39,17:18.1,0.671145921,1.364148038,0.101588489,0.812066135,46:21.5,3,good,9.766666667,2023-04-12,2023-04-12 10:17,-31.04189167,black,1
5,68925,154,0,7.3,19:08.3,0.496831053,1.416189754,0.094753756,0.786962798,46:51.3,4,good,9.766666667,2023-04-11,2023-04-11 10:19,-32.34502833,black,1
5,77881,178,0,9.7,53:02.0,0.80679361,1.313385115,0.160860533,0.552050151,47:32.2,6,good,9.783333333,2024-04-30,2024-04-30 9:46,1.453260001,black,1
9,77895,183,9.7,19.4,38:02.3,0.667670908,1.268453938,0.093367029,0.872657901,47:00.8,7,good,9.783333333,2024-04-11,2024-04-11 10:17,-30.853495,black,1
9,90343,162,19.4,9.7,20:00.9,0.606505495,1.202757086,0.075820601,0.71870271,47:36.9,10,good,9.783333333,2025-04-10,2025-04-10 10:20,-32.53459833,black,1
2,90345,158,0,9.7,21:46.3,0.544368611,1.272743786,0.071963586,0.839316476,47:25.4,11,good,9.783333333,2025-04-09,2025-04-09 10:21,-34.55983833,black,1
10,90353,74,164.88,9.7,07:13.4,0.881426331,0.570972678,0.178972624,0.097024744,47:00.4,11,bad,9.783333333,2025-01-25,2025-01-25 12:25,-158.226855,red,2
7,90363,144,0,9.7,25:38.1,0.545832726,1.150931462,0.098263799,0.814799354,47:05.6,12,good,9.783333333,2025-04-07,2025-04-07 10:25,-38.57294166,black,1
7,90363,147,0,9.7,20:03.8,0.65005122,1.381760636,0.086161404,0.96267277,47:20.4,12,good,9.783333333,2025-04-10,2025-04-10 10:20,-32.80974667,black,1
2,68912,166,116.79,14.6,26:04.6,0.747813999,1.181532265,0.09635914,0.507105121,48:19.0,2,good,9.8,2023-04-07,2023-04-07 10:26,-38.23368167,black,1
1,68916,20,14.6,7.3,55:45.2,0.344428879,0.481212364,0.025056306,0.06279283,48:06.1,3,good,9.8,2022-11-15,2022-11-15 11:55,-127.79869,black,1
2,90345,145,9.7,9.7,46:20.0,0.768301723,1.319566099,0.111526507,0.822575203,48:22.9,11,good,9.8,2025-03-27,2025-03-27 10:46,-58.05093167,black,1
